Annual_measure,SD_of_measure,Use1_0,Name,Units,Description,Region,Time_period,Source
0.0829,0.0169,1,Obs_Bcland_livewt,mMN/m2/y,Annual_carn/scav_benthos_landings_(live_weight),North_Sea,1970_1999,Analysis_of_EuroSTAT_ICES_landings_data/Lassen_et_al_2012
0.00147,0.000932,1,Obs_Zcland_livewt,mMN/m2/y,Annual_carniv_zooplankton_landings_(live_weight),North_Sea,1970_1999,Analysis_of_EuroSTAT_ICES_landings_data/Lassen_et_al_2012
0,0,0,Obs_Kland_livewt,mMN/m2/y,Annual_kelp_landings_(live_weight),North_Sea,1970_1999,Analysis_of_EuroSTAT_ICES_landings_data/Lassen_et_al_2012
2,0.5,1,Obs_kelp_pb,/y,Annual_CARBON_gross_PB_ratio_of_kelp,General_value,NA,Brady_Campbell_et_al_1984
10,5,1,Obs_benslar_pb,/y,Annual_gross_PB_ratio_larvae_of_filt/dep_benthos,General_value,NA,Mackinson_and_Daskalov_2007
10,5,1,Obs_benclar_pb,/y,Annual_gross_PB_ratio_larvae_of_carn/scav_benthos,General_value,NA,Mackinson_and_Daskalov_2007
10,3,1,Obs_bens_pb,/y,Annual_gross_PB_ratio_benthos_filter/deposit_feeders,General_value,NA,Mackinson_and_Daskalov_2007
1.2,1,1,Obs_benc_pb,/y,Annual_gross_PB_ratio_benthos_carn/scavengers,General_value,NA,Mackinson_and_Daskalov_2007
20,10,1,Obs_herb_pb,/y,Annual_gross_PB_ratio_omniv_zooplankton,General_value,NA,Mackinson_and_Daskalov_2007
5,1.315,1,Obs_carn_pb,/y,Annual_gross_PB_ratio_carniv_zooplankton,General_value,NA,Mackinson_and_Daskalov_2007
4,2,1,Obs_fishplar_pb,/y,Annual_gross_PB_ratio_larvae_of_planktiv_fish,General_value,NA,Mackinson_and_Daskalov_2007
4,2,1,Obs_fishdlar_pb,/y,Annual_gross_PB_ratio_larvae_of_demersal_fish,General_value,NA,Mackinson_and_Daskalov_2007
1.72,0.86,1,Obs_fishp_pb,/y,Annual_gross_PB_ratio_planktiv_fish,General_value,NA,Mackinson_and_Daskalov_2007
0.88,0.44,1,Obs_fishd_pb,/y,Annual_gross_PB_ratio_demersal_fish,General_value,NA,Mackinson_and_Daskalov_2007
1.3,0.6,1,Obs_fishm_pb,/y,Annual_gross_PB_ratio_migratory_fish,General_value,NA,Mackinson_and_Daskalov_2007
0.28,0.14,1,Obs_bird_pb,/y,Annual_net_PB_ratio_birds,General_value,NA,Mackinson_and_Daskalov_2007
0.09,0.045,1,Obs_seal_pb,/y,Annual_net_PB_ratio_seals,General_value,NA,Mackinson_and_Daskalov_2007
0.02,0.01,1,Obs_ceta_pb,/y,Annual_net_PB_ratio_cetaceans,General_value,NA,Mackinson_and_Daskalov_2007
0.3,0.1,1,Obs_exud_C_kelp,dimensionless,Annual_average_proportion_of_kelp_C_uptake_which_is_exuded,General_value,NA,Abdullah_and_Fredriksen_2004
0.12,0.2,1,Obs_kelp_NC,dimensionless,Annual_average_molar_NC_ratio_of_kelp,General_value,NA,Sjotun_et_al_1996/Broch_and_Slagstad_2012
129,42,1,Obs_Denitrif,mMN/m2/y,Annual_denitrification,North_Sea,1970_1999,Brion_et_al_2004
0.37,0.075,1,Obs_Dfdiscardp,dimensionless,Proportion_of_demersal_fish_catch_discarded,North_Sea,1970_1999,Heath_and_Cook_2015
19.24,9,1,Obs_s_x_ammonia,mMN/m3,Annual_average_ammonia_conc_in_porewater_of_sand_gs_0.25mm,NW_North_Sea,2007_2008,Serpetti_2012/Serpetti_et_al_2016
63.45,22,1,Obs_d_x_ammonia,mMN/m3,Annual_average_ammonia_conc_in_porewater_of_mud_gs_0.12mm,NW_North_Sea,2007_2008,Serpetti_2012/Serpetti_et_al_2016
4.15,2,1,Obs_s_x_nitrate,mMN/m3,Annual_average_nitrate_conc_in_porewater_of_sand_gs_0.25mm,NW_North_Sea,2007_2008,Serpetti_2012/Serpetti_et_al_2016
2.34,1,1,Obs_d_x_nitrate,mMN/m3,Annual_average_nitrate_conc_in_porewater_of_mud_gs_0.12mm,NW_North_Sea,2007_2008,Serpetti_2012/Serpetti_et_al_2016
0.051515,0.02441,1,Obs_s_x_TON,%N(gN/g_dry_sed),Annual_average_organic_N_content_of_sand_gs_0.25mm_(0.19-0.43mm),NW_North_Sea,1996_2015,Serpetti_2012/Serpetti_et_al_2016/Cefas_data_centre
0.07357,0.0343,1,Obs_d_x_TON,%N(gN/g_dry_sed),Annual_average_organic_N_content_of_mud_gs_0.12mm_(0.03-0.07mm),NW_North_Sea,1996_2015,Serpetti_2012/Serpetti_et_al_2016/Cefas_data_centre
9.998,2.135,1,Obs_NDJF_s_nitrate,mMN/m3,Average_winter_(Nov-Feb)_nitrate_conc_shallow_layer,North_Sea,1970_1999,Analysis_of_ICES_hydrochemical_data
2.161,1.089,1,Obs_MJJA_s_nitrate,mMN/m3,Average_summer_(May-Aug)_nitrate_conc_shallow_layer,North_Sea,1970_1999,Analysis_of_ICES_hydrochemical_data
6.995,0.836,1,Obs_NDJF_d_nitrate,mMN/m3,Average_winter_(Nov-Feb)_nitrate_conc_deep_layer,North_Sea,1970_1999,Analysis_of_ICES_hydrochemical_data
2.837,0.917,1,Obs_MJJA_d_nitrate,mMN/m3,Average_summer_(May-Aug)_nitrate_conc_deep_layer,North_Sea,1970_1999,Analysis_of_ICES_hydrochemical_data
2.367,0.774,1,Obs_NDJF_s_ammonia,mMN/m3,Average_winter_(Nov-Feb)_ammonia_conc_shallow_layer,North_Sea,1970_1999,Analysis_of_ICES_hydrochemical_data
1.737,0.669,1,Obs_MJJA_s_ammonia,mMN/m3,Average_summer_(May-Aug)_ammonia_conc_shallow_layer,North_Sea,1970_1999,Analysis_of_ICES_hydrochemical_data
0.853,0.32,1,Obs_NDJF_d_ammonia,mMN/m3,Average_winter_(Nov-Feb)_ammonia_conc_deep_layer,North_Sea,1970_1999,Analysis_of_ICES_hydrochemical_data
1.338,0.708,1,Obs_MJJA_d_ammonia,mMN/m3,Average_summer_(May-Aug)_ammonia_conc_deep_layer,North_Sea,1970_1999,Analysis_of_ICES_hydrochemical_data
0.904054817,0.385,1,Obs_carn_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_carniv_zoo_depth_av_conc,North_Sea,1970_1999,Analysis_of_Continuous_Plankton_Recorder_data
1.675726526,0.271539031,1,Obs_herb_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_omniv_zoo_depth_av_conc,North_Sea,1970_1999,Analysis_of_Continuous_Plankton_Recorder_data
3.744402563,1,1,Obs_phyt_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_phyt_surface_layer_conc,North_Sea,1970_1999,Analysis_of_ICES_hydrochemical_data
3.000139235,1,1,Obs_nit_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_nitrate_surface_layer_conc,North_Sea,1970_1999,Analysis_of_ICES_hydrochemical_data
2.429352612,0.9,1,Obs_amm_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_ammonia_surface_layer_conc,North_Sea,1970_1999,Analysis_of_ICES_hydrochemical_data
0.67,0.49,1,Obs_pfish_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_planktivorous_fish_density_per_m2,North_Sea,1970_1999,Analysis_of_ICES_International_Bottom_Trawl_Survey_data_and_Stock_Assessment_Working_Group_reports
0.39,0.31,1,Obs_dfish_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_demersal_fish_density_per_m2,North_Sea,1970_1999,Analysis_of_ICES_International_Bottom_Trawl_Survey_data_and_Stock_Assessment_Working_Group_reports
NA,NA,0,Obs_birddisc,mMN/m2/y,Annual_bycatch_of_birds,North_Sea,1970_1999,Insufficient_data
NA,NA,0,Obs_sealdisc,mMN/m2/y,Annual_bycatch_of_seals,North_Sea,1970_1999,Insufficient_data
NA,NA,0,Obs_cetadisc,mMN/m2/y,Annual_bycatch_of_cetaceans,North_Sea,1970_1999,Insufficient_data
0.15,0.05,1,Obs_kelp_beachcast,dimensionless,Proportion_of_kelp_annual_nitrogen_uptake_exported_as_beachcast,General_value,NA,Zemke_White_et_al_2005
4.05E-05,2.00E-05,1,Obs_Ctland_livewt,mMN/m2/y,Cetacean_(Minke_whale)_landings,North_Sea,1970_1999,Analysis_of_data_from_Norwegian_Directorate_of_Fisheries_and_International_Whaling_Commission
